Name,Aaron Judge,Paul Goldschmidt,Yordan Alvarez,Rafael Devers,Austin Riley,Nola Arenado,Freddie Freeman,Juan Soto,Manny Machado,Pete Alonso,Jose Ramirez,Andres Gimenez,Mookie Betts,Jose Altuve,Vladimir Guerrero,Byron Buxton,Shohei Ohtani,Will Smith,Jose Abreu,Luis Arraez,Trea Turner,Brandon Drury,C.J. Cron,Anthony Rizzo,Josh Bell
Team,NYY,STL,HOU,BOS,ATL,STL,LAD,SD,SD,NYM,CLE,CLE,LAD,HOU,TOR,MIN,LAA,LAD,CWS,MIN,LAD,SD,COL,NYY,SD
Games,112,108,99,99,115,106,114,113,107,115,112,104,97,100,113,87,112,98,114,102,114,104,112,103,115
atBats,420,405,345,397,453,401,443,385,412,427,430,340,402,375,437,323,417,356,436,385,465,395,437,367,418
runs,96,80,74,65,68,58,80,71,75,66,63,47,85,64,65,59,64,50,64,62,71,69,64,64,60
hits,126,133,102,121,132,119,142,98,124,119,121,106,110,105,124,73,106,98,132,128,142,105,120,81,119
doubles,19,31,15,31,34,28,38,20,28,22,36,19,24,26,24,13,17,20,28,21,30,24,26,18,25
triples,0,0,2,1,2,1,2,2,1,0,4,2,1,0,0,3,3,1,0,1,2,2,3,1,3
homeRuns,46,28,31,25,30,25,16,22,21,29,22,14,26,19,24,28,26,17,14,6,18,23,23,27,14
rbi,100,89,75,62,74,73,73,49,70,97,94,56,60,41,70,51,68,65,56,37,83,72,80,67,59
